,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
304,0-2000-0-86784,MANTENA,N,,Operante,Automatica,-18.78062,0-76-0-3139607000000238, 05,254.91,MG,INMET,A540,-40.986505,2007-07-31T21:00:00.000-03:00
305,0-2000-0-81820,MARABA,,,Pane,Automatica,-5.36638888,0-76-0-1504208000000449, 02,116.58,PA,INMET,A240,-49.05111111,2009-06-24T21:00:00.000-03:00
306,0-2000-0-86834,MARACAJU,N,,Operante,Automatica,-21.60916666,0-76-0-5005400000000156, 07,388.94,MS,INMET,A731,-55.17749999,2006-12-14T21:00:00.000-03:00
307,0-2000-0-86677,MARAU,,,Pane,Automatica,-13.90694444,0-76-0-2920700000000387, 04,6.24,BA,INMET,A438,-38.97222221,2008-06-21T21:00:00.000-03:00
308,0-2000-0-81922,MARECHAL THAUMATURGO,,,Pane,Automatica,-8.95,0-76-0-1200351000000456, 01,220.98,AC,INMET,A137,-72.78666666,2009-10-26T21:00:00.000-03:00
309,0-2000-0-86871,MARIA DA FE,N,,Operante,Automatica,-22.31444444,0-76-0-3139904000000151, 05,1281.43,MG,INMET,A531,-45.37305554,2006-11-30T21:00:00.000-03:00
310,0-2000-0-81983,MARIANOPOLIS DO TO,N,,Operante,Automatica,-9.57638888,0-76-0-1712504000000488, 10,186.69,TO,INMET,A041,-49.72333332,2012-11-23T21:00:00.000-03:00
311,0-2000-0-84810,MARILANDIA,N,,Operante,Automatica,-19.40722222,0-76-0-3203353000000542, 06,95,ES,INMET,A632,-40.53972221,2017-03-21T21:00:00.000-03:00
312,0-2000-0-84813,MARILIA,N,,Operante,Automatica,-22.235222,0-76-0-3529005000000547, 07,660,SP,INMET,A763,-49.965111,2017-05-14T21:00:00.000-03:00
313,0-2000-0-86899,MARINGA,N,,Operante,Automatica,-23.40527777,0-76-0-4115200000000142, 08,548.51,PR,INMET,A835,-51.93277777,2006-11-20T21:00:00.000-03:00
314,0-2000-0-86608,MATEIROS,N,,Operante,Automatica,-10.43444444,0-76-0-1712702000000486, 10,791,TO,INMET,A040,-45.92194443,2012-10-24T21:00:00.000-03:00
315,0-2000-0-81734,MAUES,N,,Operante,Automatica,-3.39888888,0-76-0-1302900000000345, 01,25.49,AM,INMET,A122,-57.67388888,2008-04-21T21:00:00.000-03:00
316,0-2000-0-81739,MEDICILANDIA,N,,Operante,Automatica,-3.51083333,0-76-0-1504455000000289, 02,251.68,PA,INMET,A209,-52.96333333,2008-02-16T21:00:00.000-03:00
317,0-2000-0-81855,MINA DO PALITO,,,Pane,Automatica,-6.31999999,0-76-0-1500602000000468, 02,259.88,PA,INMET,A246,-55.78777777,2010-09-27T21:00:00.000-03:00
318,0-2000-0-86751,MINEIROS,N,,Operante,Automatica,-17.45472222,0-76-0-5213103000000277, 10,862,GO,INMET,A026,-52.60111111,2007-11-23T21:00:00.000-03:00
