,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
40,0-2000-0-83942,CAXIAS DO SUL,N,,Operante,Convencional,-29.1961111,0-76-0-4305108000W83942, 08,750.16,RS,INMET,83942,-51.18638888,1912-04-11T21:25:56.000-02:34
41,0-2000-0-82596,CEARA MIRIM,N,,Operante,Convencional,-5.65333333,0-76-0-2402600000W82596, 03,62.2,RN,INMET,82596,-35.42583332,1967-05-31T21:00:00.000-03:00
42,0-2000-0-82382,CHAPADINHA,N,,Operante,Convencional,-3.74277777,0-76-0-2103208000W82382, 02,104,MA,INMET,82382,-43.35222222,1976-08-27T21:00:00.000-03:00
43,0-2000-0-83192,CIPO,N,,Operante,Convencional,-11.10138888,0-76-0-2907905000W83192, 04,143.53,BA,INMET,83192,-38.52416666,1934-12-31T21:00:00.000-03:00
44,0-2000-0-82326,CODAJAS,N,,Operante,Convencional,-3.8411111,0-76-0-1301308000W82326, 01,30.31,AM,INMET,82326,-62.05527777,1974-08-18T21:00:00.000-03:00
45,0-2000-0-82676,COLINAS,N,,Operante,Convencional,-6.03305554,0-76-0-2103505000W82676, 02,175.56,MA,INMET,82676,-44.23333333,1976-05-18T21:00:00.000-03:00
46,0-2000-0-82861,CONCEICAO DO ARAGUAIA,N,,Operante,Convencional,-8.25916666,0-76-0-1502707000W82861, 02,179.02,PA,INMET,82861,-49.26388888,1920-03-18T21:00:00.000-03:00
47,0-2000-0-83718,CORDEIRO,N,,Operante,Convencional,-22.02222221,0-76-0-3301504000W83718, 06,505.9,RJ,INMET,83718,-42.36444444,1971-07-15T21:00:00.000-03:00
48,0-2000-0-83286,CORRENTINA,N,,Operante,Convencional,-13.33249999,0-76-0-2909307000W83286, 04,551.69,BA,INMET,83286,-44.61749999,1975-08-10T21:00:00.000-03:00
49,0-2000-0-83912,CRUZ ALTA,N,,Operante,Convencional,-28.6261111,0-76-0-4306106000W83912, 08,475.52,RS,INMET,83912,-53.61388888,1912-02-01T21:25:56.000-02:34
50,0-2000-0-83222,CRUZ DAS ALMAS,N,,Operante,Convencional,-12.67527777,0-76-0-2909802000W83222, 04,219.69,BA,INMET,83222,-39.08972221,1957-12-31T21:00:00.000-03:00
51,0-2000-0-83361,CUIABA,S,,Operante,Convencional,-15.61999999,0-76-0-5103403000W83361, 09,157.7,MT,INMET,83361,-56.10888888,1910-12-31T21:25:56.000-02:34
52,0-2000-0-83309,DIAMANTINO,N,,Operante,Convencional,-14.40611111,0-76-0-5103502000W83309, 09,274.02,MT,INMET,83309,-56.44694444,1931-12-31T22:00:00.000-02:00
53,0-2000-0-82678,FLORIANO,N,,Operante,Convencional,-6.76166666,0-76-0-2203909000W82678, 03,126.6,PI,INMET,82678,-43.00333333,1968-01-20T22:00:00.000-02:00
54,0-2000-0-82212,FONTE BOA,N,,Operante,Convencional,-2.51583333,0-76-0-1301605000W82212, 01,59.34,AM,INMET,82212,-66.10083333,1924-12-31T21:00:00.000-03:00
55,0-2000-0-83379,FORMOSA,N,,Operante,Convencional,-15.54916666,0-76-0-5208004000W83379, 10,938.68,GO,INMET,83379,-47.33888888,1924-12-31T21:00:00.000-03:00
56,0-2000-0-83334,FORMOSO,N,,Operante,Convencional,-14.949727,0-76-0-3126208000W83334, 05,854.6,MG,INMET,83334,-46.235795,1976-04-02T21:00:00.000-03:00
57,0-2000-0-82397,FORTALEZA,S,,Operante,Convencional,-3.81527777,0-76-0-2304400000W82397, 03,29.89,CE,INMET,82397,-38.53777777,1919-10-26T21:00:00.000-03:00
58,0-2000-0-83630,FRANCA,N,,Operante,Convencional,-20.58444444,0-76-0-3516200000W83630, 07,1003.55,SP,INMET,83630,-47.38249999,1910-12-31T21:25:56.000-02:34
59,0-2000-0-83423,GOIANIA,S,,Operante,Convencional,-16.67305554,0-76-0-5208707000W83423, 10,748.53,GO,INMET,83423,-49.26388888,1937-07-10T21:00:00.000-03:00
60,0-2000-0-83446,GUARATINGA,N,,Operante,Convencional,-16.58081,0-76-0-2911808000W83446, 04,197.88,BA,INMET,83446,-39.783182,1973-09-09T21:00:00.000-03:00
61,0-2000-0-83114,IGUABA GRANDE,N,,Operante,Convencional,-22.84694444,0-76-0-3301876000W83114, 06,5.6,RJ,INMET,83114,-42.18555555,1969-12-31T21:00:00.000-03:00
62,0-2000-0-82564,IMPERATRIZ,N,,Operante,Convencional,-5.53638888,0-76-0-2105302000W82564, 02,126.33,MA,INMET,82564,-47.47888888,1912-12-31T21:25:56.000-02:34
63,0-2000-0-83522,IPAMERI,N,,Operante,Convencional,-17.72444443,0-76-0-5210109000W83522, 10,778.14,GO,INMET,83522,-48.17194443,1977-02-09T21:00:00.000-03:00
64,0-2000-0-83836,IRATI,N,,Operante,Convencional,-25.50277777,0-76-0-4110706000W83836, 08,881.69,PR,INMET,83836,-50.63749999,1966-09-23T21:00:00.000-03:00
65,0-2000-0-82336,ITACOATIARA,N,,Operante,Convencional,-3.13694444,0-76-0-1301902000W82336, 01,19.16,AM,INMET,82336,-58.44277777,1926-12-31T21:00:00.000-03:00
66,0-2000-0-82445,ITAITUBA,N,,Operante,Convencional,-4.27694443,0-76-0-1503606000W82445, 02,24.5,PA,INMET,82445,-55.99305555,1927-12-31T21:00:00.000-03:00
67,0-2000-0-83488,ITAMARANDIBA,N,,Operante,Convencional,-17.85972222,0-76-0-3132503000W83488, 05,919.37,MG,INMET,83488,-42.85277777,1925-03-26T21:00:00.000-03:00
68,0-2000-0-83695,ITAPERUNA,N,,Operante,Convencional,-21.20444444,0-76-0-3302205000W83695, 06,123.6,RJ,INMET,83695,-41.90555555,1921-12-31T21:00:00.000-03:00
69,0-2000-0-83386,JANUARIA,N,,Operante,Convencional,-15.44805555,0-76-0-3135209000W83386, 05,480,MG,INMET,83386,-44.36638888,1912-06-18T21:25:56.000-02:34
70,0-2000-0-83464,JATAI,N,,Operante,Convencional,-17.9236111,0-76-0-5211909000W83464, 10,669.84,GO,INMET,83464,-51.71749999,1978-11-23T21:00:00.000-03:00
71,0-2000-0-82798,JOAO PESSOA,S,,Operante,Convencional,-7.09527777,0-76-0-2507507000W82798, 03,9.67,PB,INMET,82798,-34.8486111,1911-12-31T21:25:56.000-02:34
72,0-2000-0-83692,JUIZ DE FORA,N,,Operante,Convencional,-21.76999999,0-76-0-3136702000W83692, 05,936.9,MG,INMET,83692,-43.36444444,1909-12-31T21:25:56.000-02:34
73,0-2000-0-83452,JURAMENTO,N,,Operante,Convencional,-16.775057,0-76-0-3136801000W83452, 05,655.59,MG,INMET,83452,-43.667085,1986-11-13T22:00:00.000-02:00
74,0-2000-0-82723,LABREA,N,,Operante,Convencional,-7.26138888,0-76-0-1302405000W82723, 01,62.23,AM,INMET,82723,-64.78999999,1972-11-29T21:00:00.000-03:00
75,0-2000-0-83916,LAGOA VERMELHA,N,,Operante,Convencional,-28.22249999,0-76-0-4311304000W83916, 08,833.73,RS,INMET,83916,-51.51277777,1914-05-31T21:00:00.000-03:00
76,0-2000-0-83687,LAVRAS,N,,Operante,Convencional,-21.2261111,0-76-0-3138203000W83687, 05,916.19,MG,INMET,83687,-44.97972221,1911-02-17T21:25:56.000-02:34
77,0-2000-0-83242,LENCOIS,N,,Operante,Convencional,-12.55777777,0-76-0-2919306000W83242, 04,438.09,BA,INMET,83242,-41.38888888,1931-08-31T21:00:00.000-03:00
78,0-2000-0-82296,LUZILANDIA(LAG.DO PIAUI),N,,Operante,Convencional,-3.46972221,0-76-0-2205805000W82296, 03,44.13,PI,INMET,82296,-42.26805554,1972-05-17T21:00:00.000-03:00
79,0-2000-0-82098,MACAPA,S,,Operante,Convencional,-0.04499999,0-76-0-1600303000W82098, 02,12.8,AP,INMET,82098,-51.11,1924-12-31T21:00:00.000-03:00
80,0-2000-0-82331,MANAUS,S,,Operante,Convencional,-3.10333333,0-76-0-1302603000W82331, 01,61.25,AM,INMET,82331,-60.01638888,1909-12-31T21:25:56.000-02:34
81,0-2000-0-82562,MARABA,N,,Operante,Convencional,-5.36611111,0-76-0-1504208000W82562, 02,101.66,PA,INMET,82562,-49.12527777,1951-12-31T22:00:00.000-02:00
82,0-2000-0-83767,MARINGA,N,,Operante,Convencional,-23.4,0-76-0-4115200000W83767, 08,542,PR,INMET,83767,-51.91666666,1953-11-30T21:00:00.000-03:00
83,0-2000-0-82181,MONTE ALEGRE,N,,Operante,Convencional,-2,0-76-0-1504802000W82181, 02,100.52,PA,INMET,82181,-54.07638888,1974-03-08T21:00:00.000-03:00
84,0-2000-0-82792,MONTEIRO,N,,Operante,Convencional,-7.89444444,0-76-0-2509701000W82792, 03,606.41,PB,INMET,82792,-37.12472221,1940-01-13T21:00:00.000-03:00
85,0-2000-0-83437,MONTES CLAROS,N,,Operante,Convencional,-16.68638888,0-76-0-3143302000W83437, 05,645.87,MG,INMET,83437,-43.84388888,1911-12-31T21:25:56.000-02:34
86,0-2000-0-82588,MORADA NOVA,N,,Operante,Convencional,-5.13666666,0-76-0-2308708000W82588, 03,43.62,CE,INMET,82588,-38.35666666,1962-09-30T21:00:00.000-03:00
87,0-2000-0-83184,MORRO DO CHAPEU,N,,Operante,Convencional,-11.54749999,0-76-0-2921708000W83184, 04,1001.66,BA,INMET,83184,-41.15111111,1913-01-12T21:25:56.000-02:34
88,0-2000-0-83013,MUNIZ FREIRE,N,,Operante,Convencional,-20.46583333,0-76-0-3203700000W83013, 06,530,ES,INMET,83013,-41.41194444,1976-10-31T21:00:00.000-03:00
89,0-2000-0-82598,NATAL,S,,Operante,Convencional,-5.83722221,0-76-0-2408102000W82598, 03,47.68,RN,INMET,82598,-35.20777777,1910-12-31T21:25:56.000-02:34
90,0-2000-0-83319,NOVA XAV.(XAVANTINA),N,,Operante,Convencional,-14.697917,0-76-0-5106257000W83319, 09,305.33,MT,INMET,83319,-52.350226,1987-08-04T21:00:00.000-03:00
91,0-2000-0-82753,OURICURI,N,,Operante,Convencional,-7.87944443,0-76-0-2609907000W82753, 03,462.01,PE,INMET,82753,-40.09194444,1975-09-15T21:00:00.000-03:00
92,0-2000-0-83364,PADRE RICARDO REMETTER,N,,Operante,Convencional,-15.7761111,0-76-0-5107800000W83364, 09,140,MT,INMET,83364,-56.07194443,1985-12-31T22:00:00.000-02:00
93,0-2000-0-83033,PALMAS,S,,Operante,Convencional,-10.14777777,0-76-0-1721000000W83033, 10,267,TO,INMET,83033,-48.31444444,1993-10-07T21:00:00.000-03:00
94,0-2000-0-82992,PALMEIRA DOS INDIOS,N,,Operante,Convencional,-9.42027777,0-76-0-2700805000W82992, 03,277.98,AL,INMET,82992,-36.62027777,1927-12-31T21:00:00.000-03:00
95,0-2000-0-82990,PAO DE ACUCAR,N,,Operante,Convencional,-9.74916666,0-76-0-2706406000W82990, 03,20.86,AL,INMET,82990,-37.43083332,1927-03-13T21:00:00.000-03:00
96,0-2000-0-83565,PARANAIBA,N,,Operante,Convencional,-19.66361111,0-76-0-5006309000W83565, 07,429.62,MS,INMET,83565,-51.19138888,1971-07-06T21:00:00.000-03:00
97,0-2000-0-83737,PASSA QUATRO,N,,Operante,Convencional,-22.38277777,0-76-0-3147600000W83737, 05,919.55,MG,INMET,83737,-44.96694443,1912-07-28T21:25:56.000-02:34
98,0-2000-0-83914,PASSO FUNDO,N,,Operante,Convencional,-28.2286111,0-76-0-4314100000W83914, 08,684.05,RS,INMET,83914,-52.41194444,1912-07-31T21:25:56.000-02:34
99,0-2000-0-82791,PATOS,N,,Operante,Convencional,-7.05361111,0-76-0-2510808000W82791, 03,251.65,PB,INMET,82791,-37.27388888,1975-10-16T21:00:00.000-03:00
100,0-2000-0-82882,PAULISTANA,N,,Operante,Convencional,-8.13222221,0-76-0-2207801000W82882, 03,376,PI,INMET,82882,-41.14305555,1975-09-21T21:00:00.000-03:00
101,0-2000-0-83393,PEDRA AZUL,N,,Operante,Convencional,-16.00944444,0-76-0-3148707000W83393, 05,647.97,MG,INMET,83393,-41.2811111,1918-09-30T21:00:00.000-03:00
102,0-2000-0-82863,PEDRO AFONSO,N,,Operante,Convencional,-8.9686111,0-76-0-1716505000W82863, 10,189.53,TO,INMET,82863,-48.17722221,1977-03-03T21:00:00.000-03:00
103,0-2000-0-83228,PEIXE,N,,Operante,Convencional,-12.01527777,0-76-0-1716604000W83228, 10,252.24,TO,INMET,83228,-48.54499999,1975-04-30T21:00:00.000-03:00
104,0-2000-0-83985,PELOTAS,N,,Operante,Convencional,-31.78333333,0-76-0-4314407000W83985, 08,13,RS,INMET,83985,-52.41666666,1925-12-31T21:00:00.000-03:00
105,0-2000-0-82983,PETROLINA,N,,Operante,Convencional,-9.3886111,0-76-0-2611101000W82983, 03,372.54,PE,INMET,82983,-40.52333332,1940-12-31T21:00:00.000-03:00
106,0-2000-0-82780,PICOS,N,,Operante,Convencional,-7.08083332,0-76-0-2208007000W82780, 03,210.07,PI,INMET,82780,-41.43499999,1923-10-31T21:00:00.000-03:00
107,0-2000-0-83376,PIRENOPOLIS,N,,Operante,Convencional,-15.85472222,0-76-0-5217302000W83376, 10,766.92,GO,INMET,83376,-48.96611111,1977-02-16T21:00:00.000-03:00
108,0-2000-0-82480,PIRIPIRI,N,,Operante,Convencional,-4.2761111,0-76-0-2208403000W82480, 03,157.89,PI,INMET,82480,-41.79444444,1976-03-08T21:00:00.000-03:00
109,0-2000-0-83967,PORTO ALEGRE,S,,Operante,Convencional,-30.05361111,0-76-0-4314902000W83967, 08,41.18,RS,INMET,83967,-51.17472221,1909-12-08T21:25:56.000-02:34
110,0-2000-0-82184,PORTO DE MOZ,N,,Operante,Convencional,-1.751055,0-76-0-1505908000W82184, 02,13.08,PA,INMET,82184,-52.236186,1928-04-22T21:00:00.000-03:00
111,0-2000-0-82996,PORTO DE PEDRAS,N,,Operante,Convencional,-9.162012,0-76-0-2707404000W82996, 03,42.21,AL,INMET,82996,-35.299881,1927-03-13T21:00:00.000-03:00
112,0-2000-0-83064,PORTO NACIONAL,N,,Operante,Convencional,-10.71083333,0-76-0-1718204000W83064, 10,243.28,TO,INMET,83064,-48.40638888,1914-12-31T21:00:00.000-03:00
113,0-2000-0-83332,POSSE,N,,Operante,Convencional,-14.08916666,0-76-0-5218300000W83332, 10,830.35,GO,INMET,83332,-46.36666666,1975-08-03T21:00:00.000-03:00
114,0-2000-0-83097,PROPRIA,N,,Operante,Convencional,-10.21388888,0-76-0-2805703000W83097, 04,18.46,SE,INMET,83097,-36.84222221,1925-05-09T21:00:00.000-03:00
115,0-2000-0-82586,QUIXERAMOBIM,N,,Operante,Convencional,-5.17305554,0-76-0-2311405000W82586, 03,227.33,CE,INMET,82586,-39.28722221,1895-12-31T21:00:00.000-03:00
116,0-2000-0-83738,RESENDE,N,,Operante,Convencional,-22.45111111,0-76-0-3304201000W83738, 06,439.9,RJ,INMET,83738,-44.44472221,1944-05-21T21:00:00.000-03:00
117,0-2000-0-83470,RIO VERDE,N,,Operante,Convencional,-17.78527777,0-76-0-5218805000W83470, 10,780.04,GO,INMET,83470,-50.96472222,1970-12-31T21:00:00.000-03:00
118,0-2000-0-83441,SALINAS,N,,Operante,Convencional,-16.154862,0-76-0-3157005000W83441, 05,476.07,MG,INMET,83441,-42.284921,1925-03-04T21:00:00.000-03:00
119,0-2000-0-83229,SALVADOR (ONDINA),S,,Operante,Convencional,-13.00583333,0-76-0-2927408000W83229, 04,47.35,BA,INMET,83229,-38.50583333,1902-12-31T21:25:56.000-02:34
120,0-2000-0-83936,SANTA MARIA,N,,Operante,Convencional,-29.72472221,0-76-0-4316907000W83936, 08,103.1,RS,INMET,83936,-53.72055554,1911-12-31T21:25:56.000-02:34
121,0-2000-0-83696,SANTA MARIA MADALENA,N,,Operante,Convencional,-21.96805554,0-76-0-3304607000W83696, 06,640,RJ,INMET,83696,-42.00305555,1921-12-20T21:00:00.000-03:00
122,0-2000-0-83997,SANTA VITORIA DO PALMAR,N,,Operante,Convencional,-33.53166666,0-76-0-4317301000W83997, 08,24.01,RS,INMET,83997,-53.35027777,1912-09-30T21:25:56.000-02:34
123,0-2000-0-83726,SAO CARLOS,N,,Operante,Convencional,-21.98027777,0-76-0-3548906000W83726, 07,859.77,SP,INMET,83726,-47.88388888,1939-09-23T21:00:00.000-03:00
124,0-2000-0-82106,SAO GABRIEL DA CACHOEIRA(UAUPES),N,,Operante,Convencional,-0.12527777,0-76-0-1303809000W82106, 01,79.71,AM,INMET,82106,-67.06111111,1920-03-31T21:00:00.000-03:00
125,0-2000-0-82689,SAO GONCALO,N,,Operante,Convencional,-6.83583333,0-76-0-2516201000W82689, 03,237.04,PB,INMET,82689,-38.31166666,1938-10-07T21:00:00.000-03:00
126,0-2000-0-82879,SAO JOAO DO PIAUI,N,,Operante,Convencional,-8.365,0-76-0-2210003000W82879, 03,237.02,PI,INMET,82879,-42.25027777,1975-09-29T21:00:00.000-03:00
127,0-2000-0-83736,SAO LOURENCO,N,,Operante,Convencional,-22.12638888,0-76-0-3163706000W83736, 05,930.65,MG,INMET,83736,-45.04333333,1922-02-03T21:00:00.000-03:00
128,0-2000-0-82280,SAO LUIS,S,,Operante,Convencional,-2.52666666,0-76-0-2111300000W82280, 02,32.58,MA,INMET,82280,-44.21361111,1924-11-17T21:00:00.000-03:00
129,0-2000-0-83781,SAO PAULO(MIR.de SANTANA),S,,Operante,Convencional,-23.49638888,0-76-0-3550308000W83781, 07,785.16,SP,INMET,83781,-46.61999999,1945-11-30T21:00:00.000-03:00
130,0-2000-0-83669,SAO SIMAO,N,,Operante,Convencional,-21.46111111,0-76-0-3550902000W83669, 07,620.02,SP,INMET,83669,-47.57944443,1919-12-31T21:00:00.000-03:00
131,0-2000-0-83363,SAO VICENTE,N,,Operante,Convencional,-15.82305554,0-76-0-5103403000W83363, 09,786.99,MT,INMET,83363,-55.41888888,1985-11-07T22:00:00.000-02:00
